PARCELSIZE,BLDGSIZE,BLDGTOTVAL,AGE_2014,X_COORD,Y_COORD,SITEADDR,TLID,FIPS,DEMOLISHED,WSAddr,WScore,WSDesc,TScore,TSDesc,Total.Pop,Pop.Density,Median.Hhld.Income,Pct.White.Alone,Pct.Black.Alone,Pct.Asian.Alone,Pct.Renter.Occ,Median.Year.Built,Median.Gross.Rent.Pct.Inc,BLDGSIZE.thous,PARCELSIZE.sqft,COVERAGE
0.45265876,8150,0.6114189830658159,37,7630170,657084,5032-5060 SW DICKINSON ST,1S1E31AB  -00200,410510064033,1,5032-5060 SW DICKINSON ST,66,Somewhat Walkable,41,Some Transit,1051,5394.226,65769,54.138915318744054,23.40627973358706,14.747859181731684,50.797872340425535,1974,28.39999962,8.15,1.0391615243342516e-5,784286158.5181738
0.26452398,1120,0.3086474641938455,75,7627500,657101,10830 SW 61ST AVE,1S1E31BB  -02500,410510065012,1,10830 SW 61ST AVE,33,Car-Dependent,39,Some Transit,2191,4288.419,72167,86.76403468735737,2.5102692834322227,1.4148790506617983,24.51403887688985,1971,28.299999239999998,1.12,6.072634986225895e-6,184433940.5448232
0.65206401,1040,0.3898159700561447,76,7635403,657202,10701 SW 30TH AVE,1S1E29DC  -10300,410510064021,1,10701 SW 30TH AVE,22,Car-Dependent,34,Some Transit,2927,3349.005,108523,94.94362828834984,0,1.2299282541851726,5.103806228373702,1974,50,1.04,1.4969329889807163e-5,69475387.85341027
0.46656216,1585,0.33924666353287414,87,7647024,657636,01540 SW RADCLIFFE RD,1S1E27DD  -02500,410510063001,1,01540 SW RADCLIFFE RD,14,Car-Dependent,33,Some Transit,1949,1475.407,113333,83.53001539250899,0.5643919958953308,5.797845048742945,17.429577464788732,1953,43.29999924,1.585,1.0710793388429752e-5,147981567.98656797
0.40141138,1008,0.20557824025289778,68,7631262,658173,4626 SW LURADEL ST,1S1E30DD  -00700,410510064033,1,4626 SW LURADEL ST,69,Somewhat Walkable,41,Some Transit,1051,5394.226,65769,54.138915318744054,23.40627973358706,14.747859181731684,50.797872340425535,1974,28.39999962,1.008,9.215137281910009e-6,109385239.6511529
0.40175943,3518,0.7427864160284675,5,7629823,659317,9935 SW 52ND AVE,1S1E30DB  -05500,410510065012,1,9935 SW 52ND AVE,45,Car-Dependent,39,Some Transit,2191,4288.419,72167,86.76403468735737,2.5102692834322227,1.4148790506617983,24.51403887688985,1971,28.299999239999998,3.518,9.22312741046832e-6,381432440.80170065
0.14199995,744,0.3854988461332045,98,7644044,659495,0420 SW PALATINE HILL RD,1S1E27BD  -03300,410510063001,1,0420 SW PALATINE HILL RD,16,Car-Dependent,25,Some Transit,1949,1475.407,113333,83.53001539250899,0.5643919958953308,5.797845048742945,17.429577464788732,1953,43.29999924,0.744,3.259870293847567e-6,228229939.5175843
0.25621709,1247,0.3876464323748669,71,7631083,659510,4650 SW TAYLORS FERRY RD,1S1E30DA  -01500,410510065012,1,4650 SW TAYLORS FERRY RD,68,Somewhat Walkable,39,Some Transit,2191,4288.419,72167,86.76403468735737,2.5102692834322227,1.4148790506617983,24.51403887688985,1971,28.299999239999998,1.247,5.881935032139577e-6,212005061.80130297
0.08964337,2376,0.6743084341426275,7,7629792,659864,5207 SW TAYLORS FERRY RD,1S1E30AC  -17100,410510065011,1,5207 SW TAYLORS FERRY RD,54,Somewhat Walkable,38,Some Transit,1987,4520.184,81875,91.59536990437846,0.5535983895319577,2.415702063412179,21.776155717761558,1979,35.70000076,2.376,2.0579286042240587e-6,1154559004.1962948
0.08415446,1413,0.472626820693119,74,7629382,659877,5335 SW TAYLORS FERRY RD,1S1E30AC  -18500,410510065011,1,5335 SW TAYLORS FERRY RD,47,Car-Dependent,38,Some Transit,1987,4520.184,81875,91.59536990437846,0.5535983895319577,2.415702063412179,21.776155717761558,1979,35.70000076,1.413,1.93192056932966e-6,731396529.6669956
0.34434395,1686,0.1677458572296958,129,7630812,660051,9635 SW 48TH AVE,1S1E30AD  -11200,410510065011,1,9635 SW 48TH AVE,57,Somewhat Walkable,39,Some Transit,1987,4520.184,81875,91.59536990437846,0.5535983895319577,2.415702063412179,21.776155717761558,1979,35.70000076,1.686,7.905049357208448e-6,213281400.76223207
0.14754327,4333,0.7685105206785752,7,7641876,660147,9416 SW BOONES FERRY RD,1S1E28AD  -04500,410510063001,1,9416 SW BOONES FERRY RD,45,Car-Dependent,26,Some Transit,1949,1475.407,113333,83.53001539250899,0.5643919958953308,5.797845048742945,17.429577464788732,1953,43.29999924,4.333,3.3871274104683197e-6,1279255095.8101985
