disasterNumber,state,county,city,zipCode,totalValidRegistrations,validCallCenterRegistrations,validWebRegistrations,validMobileRegistrations,ihpReferrals,ihpEligible,ihpAmount,haReferrals,haEligible,haAmount,onaReferrals,onaEligible,onaAmount,id
4399,FL,"Bay County, Florida",GULF BREEZE,32563,1,0,1,0,0,0,0,0,0,0,0,0,0,6210b8ca835fa6921ac1e3cf
4399,FL,"Bay County, Florida",LYNN HAVEN,32404,1,0,1,0,1,1,5458.99,1,1,4880.16,1,1,578.83,6210b8ca835fa6921ac1e3d3
4399,FL,"Bay County, Florida",MARIANNA,32446,1,1,0,0,1,0,0,1,0,0,0,0,0,6210b8ca835fa6921ac1e3d8
4399,FL,"Bay County, Florida",P C BEACH,32407,9,0,4,5,6,0,0,6,0,0,1,0,0,6210b8ca835fa6921ac1e3de
4399,FL,"Bay County, Florida",PALM BAY,32909,1,0,1,0,1,0,0,1,0,0,1,0,0,6210b8ca835fa6921ac1e3e2
4399,FL,"Bay County, Florida",PANAMA,32405,1,0,0,1,1,1,4295.04,1,1,2022,1,1,2273.04,6210b8ca835fa6921ac1e3e5
4399,FL,"Bay County, Florida",PANAMA CITY,32401,10630,5577,2220,2833,9894,5030,25428920.45,9765,4455,20029953.2,5570,2848,5398967.25,6210b8ca835fa6921ac1e3f0
4399,FL,"Bay County, Florida",PANAMA CITY,32402,5,0,1,4,5,2,4638.53,4,2,3468,4,1,1170.53,6210b8ca835fa6921ac1e3f1
4399,FL,"Bay County, Florida",PANAMA CITY,32406,4,0,1,3,2,1,1734,2,1,1734,1,0,0,6210b8ca835fa6921ac1e3f5
4399,FL,"Bay County, Florida",PANAMA CITY,32408,2442,1138,748,556,1994,321,928458.36,1917,237,764429.76,681,161,164028.6,6210b8ca835fa6921ac1e3f7
4399,FL,"Bay County, Florida",PANAMA CITY,32409,2257,1250,511,496,2108,713,3498723.88,2076,581,3031074.84,888,344,467649.04,6210b8ca835fa6921ac1e3f8
4399,FL,"Bay County, Florida",PANAMA CITY,32414,1,0,1,0,1,1,3897.63,1,1,2858,1,1,1039.63,6210b8ca835fa6921ac1e3fb
4399,FL,"Bay County, Florida",PANAMA CITY BEACH,32461,2,0,2,0,1,0,0,0,0,0,1,0,0,6210b8ca835fa6921ac1e408
4399,FL,"Bay County, Florida",PARKER,32404,111,24,31,56,101,57,213006.34,97,48,168056.74,56,30,44949.6,6210b8ca835fa6921ac1e40a
4399,FL,"Bay County, Florida",PCB,32413,2,0,1,1,1,0,0,1,0,0,1,0,0,6210b8ca835fa6921ac1e40d
4399,FL,"Bay County, Florida",SPRINGFIELD,32404,12,6,4,2,11,9,75309.15,11,9,67042.35,7,3,8266.8,6210b8ca835fa6921ac1e41e
4399,FL,"Bay County, Florida",THOMAS DRIVE,32408,1,0,0,1,0,0,0,0,0,0,0,0,0,6210b8ca835fa6921ac1e421
4399,FL,"Bay County, Florida",WEWAHITCHKA,32465,2,2,0,0,2,1,4506.62,2,1,4506.62,2,0,0,6210b8ca835fa6921ac1e427
4399,FL,"Calhoun County, Florida",ALTHA,23421,1,0,0,1,1,1,1212,1,1,1212,1,0,0,6210b8ca835fa6921ac1e42c
4399,FL,"Calhoun County, Florida",ALTHA,32421,1467,859,289,319,1390,713,3765231.04,1370,616,3183233.18,680,315,581997.86,6210b8ca835fa6921ac1e42d
4399,FL,"Calhoun County, Florida",ALTHA,32424,1,0,0,1,1,0,0,1,0,0,1,0,0,6210b8ca835fa6921ac1e42e
4399,FL,"Calhoun County, Florida",ALTHEA,32421,1,0,0,1,1,0,0,1,0,0,1,0,0,6210b8ca835fa6921ac1e42f
4399,FL,"Calhoun County, Florida",KINARD,32449,128,53,26,49,121,72,523446.69,121,71,488481.02,56,27,34965.67,6210b8ca835fa6921ac1e437
4399,FL,"Calhoun County, Florida",PANAMA CITY,32405,1,1,0,0,0,0,0,0,0,0,0,0,0,6210b8ca835fa6921ac1e43b
4399,FL,"Calhoun County, Florida",PANAMA CITY BEACH,32407,1,0,1,0,1,0,0,1,0,0,1,0,0,6210b8ca835fa6921ac1e43c
4399,FL,"Franklin County, Florida",ALLIGATOR POINT,32346,20,3,14,3,11,5,27035.7,10,4,16265.73,5,3,10769.97,6210b8ca835fa6921ac1e441
4399,FL,"Franklin County, Florida",BRISTOL,32321,3,1,1,1,3,3,7232.36,3,2,6756.48,2,1,475.88,6210b8ca835fa6921ac1e443
4399,FL,"Franklin County, Florida",PORT SAINT JOE,32456,1,0,1,0,1,1,4446.04,1,1,4446.04,0,0,0,6210b8ca835fa6921ac1e44a
4399,FL,"Franklin County, Florida",ST TERESA,32358,4,1,3,0,3,1,10416.76,3,1,10146.77,1,1,269.99,6210b8ca835fa6921ac1e450
4399,FL,"Gadsden County, Florida",GRETNA,32332,334,197,53,84,277,81,353581.1,251,71,322681.73,137,29,30899.37,6210b8ca835fa6921ac1e455
4399,FL,"Gadsden County, Florida",HAVANA,32351,1,0,1,0,1,1,2059.38,1,1,1552,1,1,507.38,6210b8ca835fa6921ac1e457
4399,FL,"Gadsden County, Florida",TALLHASSEE,32343,1,0,0,1,0,0,0,0,0,0,0,0,0,6210b8ca835fa6921ac1e461
4399,FL,"Gulf County, Florida",CAPE SAN BLAS,32456,12,1,10,1,1,0,0,1,0,0,0,0,0,6210b8ca835fa6921ac1e463
4399,FL,"Gulf County, Florida",MEXICO BEACH,32410,2,2,0,0,2,2,4116.56,2,2,4116.56,0,0,0,6210b8ca835fa6921ac1e465
4399,FL,"Gulf County, Florida",PANAMA CITY,32404,1,0,0,1,1,0,0,1,0,0,0,0,0,6210b8ca835fa6921ac1e469
4399,FL,"Gulf County, Florida",PORT SAINT JOE,32456,185,20,78,87,150,69,404052.39,147,60,318499.49,65,29,85552.9,6210b8ca835fa6921ac1e46a
4399,FL,"Gulf County, Florida",PORT ST JOE,35824,1,0,0,1,0,0,0,0,0,0,0,0,0,6210b8ca835fa6921ac1e46d
4399,FL,"Gulf County, Florida",WHITE CITY,32465,1,0,1,0,1,0,0,1,0,0,0,0,0,6210b8ca835fa6921ac1e474
4399,FL,"Holmes County, Florida",BRUCE,32455,1,0,0,1,1,1,3650.87,1,1,1076,1,1,2574.87,6210b8ca835fa6921ac1e477
4399,FL,"Holmes County, Florida",DEFUNIAK SPRINGS,32433,3,0,2,1,3,2,14350.76,3,1,13886.91,2,1,463.85,6210b8ca835fa6921ac1e47b
4399,FL,"Holmes County, Florida",GRACEVILLE,32440,87,38,19,30,61,15,48101.44,60,12,46127.08,24,7,1974.36,6210b8ca835fa6921ac1e47c
4399,FL,"Holmes County, Florida",HUDSON,34667,1,0,1,0,1,0,0,1,0,0,0,0,0,6210b8ca835fa6921ac1e47d
4399,FL,"Holmes County, Florida",WESTVILLE,32464,166,78,40,48,113,29,47995.42,96,18,33311.31,64,20,14684.11,6210b8ca835fa6921ac1e484
4399,FL,"Jackson County, Florida",ALFORD,32420,672,362,141,169,623,255,797895.23,609,221,709273.8,255,93,88621.43,6210b8ca835fa6921ac1e485
4399,FL,"Jackson County, Florida",GRANDRIDGE,32442,1,0,0,1,1,1,1644.83,1,1,606,1,1,1038.83,6210b8ca835fa6921ac1e491
4399,FL,"Jackson County, Florida",GREEENWOOD,32443,1,0,1,0,1,1,151.55,1,1,151.55,0,0,0,6210b8ca835fa6921ac1e492
4399,FL,"Jackson County, Florida",HAVANA,32333,1,1,0,0,1,0,0,1,0,0,0,0,0,6210b8ca835fa6921ac1e495
4399,FL,"Jackson County, Florida",JACKSONVILLE,32225,1,1,0,0,1,0,0,1,0,0,0,0,0,6210b8ca835fa6921ac1e497
4399,FL,"Jackson County, Florida",JACOB,32431,1,0,1,0,0,0,0,0,0,0,0,0,0,6210b8ca835fa6921ac1e499
4399,FL,"Jackson County, Florida",MALONE,32445,284,147,64,73,242,118,440147.33,231,98,349369.09,125,57,90778.24,6210b8ca835fa6921ac1e49a
4399,FL,"Bay County, Florida",BRADENTON,34201,1,1,0,0,1,0,0,1,0,0,0,0,0,6210b8ca835fa6921ac1e3bd
4399,FL,"Bay County, Florida",CALLAWAY,30404,1,0,0,1,1,0,0,1,0,0,0,0,0,6210b8ca835fa6921ac1e3c0
4399,FL,"Bay County, Florida",CHIPLEY,32428,5,2,2,1,3,0,0,2,0,0,1,0,0,6210b8ca835fa6921ac1e3c3
