GeoType,GeogName,GeoID,Borough,Pop_1E,Pop65pl1E,Pop65pl1C,MdAgeE
NTA2010,Westerleigh,SI07,Staten Island,"24,131","3,812",5.1,40.9
NTA2010,Allerton-Pelham Gardens,BX31,The Bronx,"32,450","5,659",4.7,40.7
NTA2010,Bedford Park-Fordham North,BX05,The Bronx,"55,995","4,347",6.1,31.7
NTA2010,Belmont,BX06,The Bronx,"29,372","1,865",7.8,25.1
NTA2010,Bronxdale,BX07,The Bronx,"37,595","4,974",5.5,35.4
NTA2010,Claremont-Bathgate,BX01,The Bronx,"34,815","2,543",10.2,27.4
NTA2010,Co-op City,BX13,The Bronx,"48,541","10,685",5.2,45.3
NTA2010,Crotona Park East,BX75,The Bronx,"21,745","1,969",8.8,31.3
NTA2010,East Concourse-Concourse Village,BX14,The Bronx,"64,516","6,969",4.4,32.3
NTA2010,East Tremont,BX17,The Bronx,"44,510","4,516",5.3,30.1
NTA2010,Eastchester-Edenwald-Baychester,BX03,The Bronx,"35,172","4,253",6.3,35.2
NTA2010,Fordham South,BX40,The Bronx,"28,434","1,818",10.6,28.2
NTA2010,Highbridge,BX26,The Bronx,"39,144","2,975",6.6,30.6
NTA2010,Hunts Point,BX27,The Bronx,"26,531","2,413",5.7,30.1
NTA2010,Kingsbridge Heights,BX30,The Bronx,"31,294","3,370",7.5,33.3
NTA2010,Longwood,BX33,The Bronx,"28,961","2,521",6.7,30.5
NTA2010,Melrose South-Mott Haven North,BX34,The Bronx,"43,244","3,663",5.3,28.4
NTA2010,Morrisania-Melrose,BX35,The Bronx,"39,939","3,339",6.3,31.6
NTA2010,Mott Haven-Port Morris,BX39,The Bronx,"55,080","4,585",4.9,28.9
NTA2010,Mount Hope,BX41,The Bronx,"52,973","3,985",5.3,30.4
NTA2010,North Riverdale-Fieldston-Riverdale,BX22,The Bronx,"27,145","6,025",4.4,41.7
NTA2010,Norwood,BX43,The Bronx,"42,666","3,947",6.4,32.3
NTA2010,park-cemetery-etc-Bronx,BX99,The Bronx,"1,777",150,20.1,34.3
NTA2010,Parkchester,BX46,The Bronx,"30,826","3,577",7.5,37.4
NTA2010,Pelham Bay-Country Club-City Island,BX10,The Bronx,"26,172","5,466",5.1,44.9
NTA2010,Pelham Parkway,BX49,The Bronx,"29,947","3,918",5.5,35.7
NTA2010,Rikers Island,BX98,The Bronx,"7,503",33,57.1,32.0
NTA2010,Schuylerville-Throgs Neck-Edgewater Park,BX52,The Bronx,"47,580","7,407",4.7,39.0
NTA2010,Soundview-Bruckner,BX55,The Bronx,"37,866","3,863",5.6,31.5
NTA2010,Soundview-Castle Hill-Clason Point-Harding Park,BX09,The Bronx,"56,552","7,366",4.4,35.5
NTA2010,Spuyten Duyvil-Kingsbridge,BX29,The Bronx,"31,508","6,404",4.5,40.0
NTA2010,University Heights-Morris Heights,BX36,The Bronx,"55,575","4,448",5.5,30.6
NTA2010,Van Cortlandt Village,BX28,The Bronx,"51,157","5,746",5.0,34.3
NTA2010,Van Nest-Morris Park-Westchester Square,BX37,The Bronx,"29,509","3,068",5.3,34.0
NTA2010,West Concourse,BX63,The Bronx,"37,395","2,863",6.1,31.4
NTA2010,West Farms-Bronx River,BX08,The Bronx,"35,752","3,741",6.8,33.0
NTA2010,Westchester-Unionport,BX59,The Bronx,"28,437","3,407",5.8,34.0
NTA2010,Williamsbridge-Olinville,BX44,The Bronx,"65,043","7,851",4.0,34.7
NTA2010,Woodlawn-Wakefield,BX62,The Bronx,"44,064","6,194",4.2,38.9
,,,,,,,
,,,,,,,
