UniqueID,NearSchoolDist,NearSchoolMins,DistMeters,TimeMins
290095000,Buford Middle School,Buford Middle School,923,12.3
290030000,Buford Middle School,Buford Middle School,1417,18.9
290062000,Buford Middle School,Buford Middle School,1117,14.9
290206000,Buford Middle School,Buford Middle School,902,12
230036000,Buford Middle School,Buford Middle School,522,7
300138000,Buford Middle School,Buford Middle School,346,4.6
230033000,Buford Middle School,Buford Middle School,628,8.4
230057000,Buford Middle School,Buford Middle School,367,4.9
290104000,Buford Middle School,Buford Middle School,1030,13.7
290215000,Buford Middle School,Buford Middle School,752,10
230018100,Buford Middle School,Buford Middle School,763,10.2
290102000,Buford Middle School,Buford Middle School,1003,13.4
300137000,Buford Middle School,Buford Middle School,328,4.4
230058000,Buford Middle School,Buford Middle School,387,5.2
230019000,Buford Middle School,Buford Middle School,781,10.4
230032000,Buford Middle School,Buford Middle School,635,8.5
290090000,Buford Middle School,Buford Middle School,1001,13.3
290038000,Buford Middle School,Buford Middle School,1199,16
230035100,Buford Middle School,Buford Middle School,522,7
290061000,Buford Middle School,Buford Middle School,1081,14.4
300136000,Buford Middle School,Buford Middle School,310,4.1
230058100,Buford Middle School,Buford Middle School,406,5.4
300144100,Buford Middle School,Buford Middle School,608,8.1
230020000,Buford Middle School,Buford Middle School,806,10.7
290101000,Buford Middle School,Buford Middle School,1015,13.5
290205000,Buford Middle School,Buford Middle School,883,11.8
300135000,Buford Middle School,Buford Middle School,292,3.9
290096000,Buford Middle School,Buford Middle School,912,12.2
230062000,Buford Middle School,Buford Middle School,425,5.7
230031000,Buford Middle School,Buford Middle School,669,8.9
300110000,Buford Middle School,Buford Middle School,704,9.4
290105000,Buford Middle School,Buford Middle School,1075,14.3
290037000,Buford Middle School,Buford Middle School,1190,15.9
290216000,Buford Middle School,Buford Middle School,733,9.8
290097000,Buford Middle School,Buford Middle School,903,12
300134000,Buford Middle School,Buford Middle School,273,3.6
230063000,Buford Middle School,Buford Middle School,443,5.9
290059000,Buford Middle School,Buford Middle School,1123,15
300111000,Buford Middle School,Buford Middle School,705,9.4
290098000,Buford Middle School,Buford Middle School,982,13.1
290100000,Buford Middle School,Buford Middle School,1029,13.7
290036000,Buford Middle School,Buford Middle School,1131,15.1
230030000,Buford Middle School,Buford Middle School,716,9.6
300134100,Buford Middle School,Buford Middle School,270,3.6
290106000,Buford Middle School,Buford Middle School,1086,14.5
230069000,Buford Middle School,Buford Middle School,474,6.3
300144000,Buford Middle School,Buford Middle School,692,9.2
290035000,Buford Middle School,Buford Middle School,1140,15.2
230027000,Buford Middle School,Buford Middle School,735,9.8
290113000,Buford Middle School,Buford Middle School,1083,14.4
290204000,Buford Middle School,Buford Middle School,865,11.5
290034000,Buford Middle School,Buford Middle School,1174,15.7
230055000,Buford Middle School,Buford Middle School,283,3.8
290185000,Buford Middle School,Buford Middle School,883,11.8
290217000,Buford Middle School,Buford Middle School,714,9.5
230026000,Buford Middle School,Buford Middle School,807,10.8
290107000,Buford Middle School,Buford Middle School,1064,14.2
230056000,Buford Middle School,Buford Middle School,282,3.8
290099000,Buford Middle School,Buford Middle School,1047,14
230025000,Buford Middle School,Buford Middle School,791,10.6
230070100,Buford Middle School,Buford Middle School,510,6.8
300144200,Buford Middle School,Buford Middle School,635,8.5
290114000,Buford Middle School,Buford Middle School,1125,15
230059000,Buford Middle School,Buford Middle School,302,4
300151100,Buford Middle School,Buford Middle School,407,5.4
290184000,Buford Middle School,Buford Middle School,958,12.8
230068000,Buford Middle School,Buford Middle School,464,6.2
300151000,Buford Middle School,Buford Middle School,514,6.9
290203000,Buford Middle School,Buford Middle School,845,11.3
290108000,Buford Middle School,Buford Middle School,1052,14
290117000,Buford Middle School,Buford Middle School,1124,15
230021500,Buford Middle School,Buford Middle School,810,10.8
230060000,Buford Middle School,Buford Middle School,321,4.3
230070200,Buford Middle School,Buford Middle School,533,7.1
230021400,Buford Middle School,Buford Middle School,810,10.8
290218000,Buford Middle School,Buford Middle School,695,9.3
290118000,Buford Middle School,Buford Middle School,1126,15
290186000,Buford Middle School,Buford Middle School,867,11.6
300169000,Buford Middle School,Buford Middle School,472,6.3
290112000,Buford Middle School,Buford Middle School,1137,15.2
230021100,Buford Middle School,Buford Middle School,826,11
230070300,Buford Middle School,Buford Middle School,549,7.3
230061000,Buford Middle School,Buford Middle School,339,4.5
230021300,Buford Middle School,Buford Middle School,826,11
290119000,Buford Middle School,Buford Middle School,1136,15.2
230074000,Buford Middle School,Buford Middle School,568,7.6
230021200,Buford Middle School,Buford Middle School,832,11.1
230064000,Buford Middle School,Buford Middle School,356,4.7
290109000,Buford Middle School,Buford Middle School,1041,13.9
290122000,Buford Middle School,Buford Middle School,1145,15.3
230070000,Buford Middle School,Buford Middle School,469,6.2
290183000,Buford Middle School,Buford Middle School,1068,14.2
230065000,Buford Middle School,Buford Middle School,372,5
290189000,Buford Middle School,Buford Middle School,854,11.4
290123000,Buford Middle School,Buford Middle School,1155,15.4
230021000,Buford Middle School,Buford Middle School,867,11.6
230075000,Buford Middle School,Buford Middle School,583,7.8
230029000,Buford Middle School,Buford Middle School,639,8.5
290202000,Buford Middle School,Buford Middle School,829,11.1
290187000,Buford Middle School,Buford Middle School,940,12.5
230076000,Buford Middle School,Buford Middle School,583,7.8
290219000,Buford Middle School,Buford Middle School,676,9
230066000,Buford Middle School,Buford Middle School,387,5.2
290124000,Buford Middle School,Buford Middle School,1177,15.7
230028000,Buford Middle School,Buford Middle School,657,8.8
230130000,Buford Middle School,Buford Middle School,963,12.8
230067000,Buford Middle School,Buford Middle School,436,5.8
290111000,Buford Middle School,Buford Middle School,1046,13.9
290182000,Buford Middle School,Buford Middle School,1086,14.5
230024000,Buford Middle School,Buford Middle School,674,9
290190000,Buford Middle School,Buford Middle School,841,11.2
